Tm,vpd,branches,conidia,rep
22,0.03,1,12,1
22,0.03,1,16,2
22,0.03,1,12,3
22,0.03,1,10,4
25,0.03,1,8,1
25,0.03,1,10,2
25,0.03,1,6,3
25,0.03,1,4,4
28,0.03,1,4,1
28,0.03,1,2,2
28,0.03,1,6,3
28,0.03,1,4,4
22,0.13,1,22,1
22,0.13,1,24,2
22,0.13,1,28,3
22,0.13,1,18,4
25,0.13,1,22,1
25,0.13,1,24,2
25,0.13,1,30,3
25,0.13,1,28,4
28,0.13,1,28,1
28,0.13,1,30,2
28,0.13,1,30,3
28,0.13,1,20,4
22,0.4,1,26,1
22,0.4,1,20,2
22,0.4,1,16,3
22,0.4,1,22,4
25,0.4,1,18,1
25,0.4,1,12,2
25,0.4,1,16,3
25,0.4,1,18,4
28,0.4,1,9,1
28,0.4,1,10,2
28,0.4,1,15,3
28,0.4,1,9,4
22,0.7,1,10,1
22,0.7,1,14,2
22,0.7,1,20,3
22,0.7,1,12,4
25,0.7,1,9,1
25,0.7,1,7,2
25,0.7,1,16,3
25,0.7,1,10,4
28,0.7,1,8,1
28,0.7,1,14,2
28,0.7,1,12,3
28,0.7,1,14,4
22,1.2,1,14,1
22,1.2,1,8,2
22,1.2,1,10,3
22,1.2,1,12,4
25,1.2,1,5,1
25,1.2,1,8,2
25,1.2,1,8,3
25,1.2,1,7,4
28,1.2,1,10,1
28,1.2,1,6,2
28,1.2,1,8,3
28,1.2,1,12,4
22,1.8,1,8,1
22,1.8,1,6,2
22,1.8,1,10,3
22,1.8,1,16,4
25,1.8,1,8,1
25,1.8,1,4,2
25,1.8,1,5,3
25,1.8,1,4,4
28,1.8,1,10,1
28,1.8,1,5,2
28,1.8,1,8,3
28,1.8,1,4,4
22,0.03,2,36,1
22,0.03,2,42,2
22,0.03,2,38,3
22,0.03,2,40,4
25,0.03,2,13,1
25,0.03,2,10,2
25,0.03,2,12,3
25,0.03,2,8,4
28,0.03,2,8,1
28,0.03,2,16,2
28,0.03,2,8,3
28,0.03,2,12,4
22,0.13,2,3,1
22,0.13,2,2,2
22,0.13,2,3,3
22,0.13,2,1,4
25,0.13,2,3,1
25,0.13,2,2,2
25,0.13,2,1,3
25,0.13,2,2,4
28,0.13,2,4,1
28,0.13,2,6,2
28,0.13,2,2,3
28,0.13,2,2,4
22,0.4,2,5,1
22,0.4,2,2,2
22,0.4,2,6,3
22,0.4,2,2,4
25,0.4,2,3,1
25,0.4,2,5,2
25,0.4,2,2,3
25,0.4,2,3,4
28,0.4,2,6,1
28,0.4,2,4,2
28,0.4,2,0,3
28,0.4,2,2,4
22,0.7,2,4,1
22,0.7,2,1,2
22,0.7,2,2,3
22,0.7,2,3,4
25,0.7,2,4,1
25,0.7,2,2,2
25,0.7,2,2,3
25,0.7,2,1,4
28,0.7,2,2,1
28,0.7,2,2,2
28,0.7,2,4,3
28,0.7,2,0,4
22,1.2,2,3,1
22,1.2,2,2,2
22,1.2,2,3,3
22,1.2,2,4,4
25,1.2,2,2,1
25,1.2,2,3,2
25,1.2,2,3,3
25,1.2,2,1,4
28,1.2,2,4,1
28,1.2,2,0,2
28,1.2,2,4,3
28,1.2,2,2,4
22,1.8,2,2,1
22,1.8,2,0,2
22,1.8,2,4,3
22,1.8,2,2,4
25,1.8,2,3,1
25,1.8,2,2,2
25,1.8,2,1,3
25,1.8,2,1,4
28,1.8,2,4,1
28,1.8,2,2,2
28,1.8,2,2,3
28,1.8,2,2,4
22,0.03,3,50,1
22,0.03,3,54,2
22,0.03,3,52,3
22,0.03,3,50,4
25,0.03,3,74,1
25,0.03,3,66,2
25,0.03,3,86,3
25,0.03,3,66,4
28,0.03,3,96,1
28,0.03,3,90,2
28,0.03,3,98,3
28,0.03,3,62,4
22,0.13,3,2,1
22,0.13,3,6,2
22,0.13,3,4,3
22,0.13,3,2,4
25,0.13,3,2,1
25,0.13,3,0,2
25,0.13,3,2,3
25,0.13,3,2,4
28,0.13,3,2,1
28,0.13,3,0,2
28,0.13,3,4,3
28,0.13,3,0,4
22,0.4,3,0,1
22,0.4,3,2,2
22,0.4,3,0,3
22,0.4,3,2,4
25,0.4,3,2,1
25,0.4,3,2,2
25,0.4,3,0,3
25,0.4,3,0,4
28,0.4,3,2,1
28,0.4,3,2,2
28,0.4,3,0,3
28,0.4,3,0,4
22,0.7,3,2,1
22,0.7,3,2,2
22,0.7,3,2,3
22,0.7,3,0,4
25,0.7,3,0,1
25,0.7,3,2,2
25,0.7,3,2,3
25,0.7,3,0,4
28,0.7,3,0,1
28,0.7,3,2,2
28,0.7,3,2,3
28,0.7,3,2,4
22,1.2,3,2,1
22,1.2,3,0,2
22,1.2,3,0,3
22,1.2,3,2,4
25,1.2,3,2,1
25,1.2,3,0,2
25,1.2,3,0,3
25,1.2,3,0,4
28,1.2,3,2,1
28,1.2,3,0,2
28,1.2,3,0,3
28,1.2,3,0,4
22,1.8,3,0,1
22,1.8,3,0,2
22,1.8,3,2,3
22,1.8,3,0,4
25,1.8,3,0,1
25,1.8,3,0,2
25,1.8,3,0,3
25,1.8,3,0,4
28,1.8,3,0,1
28,1.8,3,0,2
28,1.8,3,0,3
28,1.8,3,0,4
