Tm,i_period,leaf,germ_conidia,non_germ_conidia
17,12,L1,7,93
17,12,L1,9,91
17,12,L2,5,95
17,12,L2,10,90
17,24,L1,17,83
17,24,L1,14,86
17,24,L2,16,84
17,24,L2,13,87
17,36,L1,23,77
17,36,L1,21,79
17,36,L2,25,75
17,36,L2,17,83
17,48,L1,27,73
17,48,L1,21,79
17,48,L2,28,72
17,48,L2,23,77
19,12,L1,11,89
19,12,L1,12,88
19,12,L2,10,90
19,12,L2,9,91
19,24,L1,21,79
19,24,L1,25,75
19,24,L2,20,80
19,24,L2,23,77
19,36,L1,28,72
19,36,L1,32,68
19,36,L2,31,69
19,36,L2,35,65
19,48,L1,34,66
19,48,L1,32,68
19,48,L2,29,71
19,48,L2,34,66
22,12,L1,24,76
22,12,L1,25,75
22,12,L2,28,72
22,12,L2,25,75
22,24,L1,45,55
22,24,L1,48,52
22,24,L2,50,50
22,24,L2,49,51
22,36,L1,72,28
22,36,L1,70,30
22,36,L2,69,31
22,36,L2,71,29
22,48,L1,75,25
22,48,L1,80,20
22,48,L2,70,30
22,48,L2,74,26
25,12,L1,32,68
25,12,L1,31,69
25,12,L2,29,71
25,12,L2,30,70
25,24,L1,52,48
25,24,L1,54,46
25,24,L2,51,49
25,24,L2,50,50
25,36,L1,75,25
25,36,L1,73,27
25,36,L2,76,24
25,36,L2,70,30
25,48,L1,80,20
25,48,L1,82,18
25,48,L2,79,21
25,48,L2,78,22
28,12,L1,56,44
28,12,L1,54,46
28,12,L2,52,48
28,12,L2,50,50
28,24,L1,64,36
28,24,L1,65,35
28,24,L2,60,40
28,24,L2,63,37
28,36,L1,83,17
28,36,L1,80,20
28,36,L2,77,23
28,36,L2,79,21
28,48,L1,86,14
28,48,L1,82,18
28,48,L2,88,12
28,48,L2,85,15
31,12,L1,11,89
31,12,L1,10,90
31,12,L2,9,91
31,12,L2,12,88
31,24,L1,16,84
31,24,L1,15,85
31,24,L2,19,81
31,24,L2,14,86
31,36,L1,18,82
31,36,L1,20,80
31,36,L2,17,83
31,36,L2,18,82
31,48,L1,22,78
31,48,L1,20,80
31,48,L2,17,83
31,48,L2,21,79
